date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2020-01-01,-2.7,-6,4,,,346,1.5,9.3,1034,
2020-01-02,-4.4,-7,-1,,,327,2.7,13,1029.2,
2020-01-03,0.8,-3,5,,,213,10.3,33.3,1023.7,
2020-01-04,3.8,2,6,,,252,13.1,40.8,1024.1,
2020-01-05,0.7,-2,3,,,256,7.1,27.8,1033.6,
2020-01-06,-0.1,-4,3,,,191,3,9.3,1030.4,
2020-01-07,-0.3,-6,3,,,233,7.2,18.5,1027,
2020-01-08,1.8,-1,4,,,224,6.7,20.4,1028.8,
2020-01-09,5.5,3,8,,,225,3.8,16.7,1022.1,
2020-01-10,6.9,4,10,,,232,11.2,29.6,1019,
2020-01-11,3.3,-1,6,,,253,7.7,24.1,1030.6,
2020-01-12,0.2,-5,5,,,220,8.3,24.1,1026.6,
2020-01-13,2.4,0.4,4,,,203,7.3,24.1,1023.4,
2020-01-14,1.5,-3,8,,,184,2.3,20.4,1018.8,
2020-01-15,1.3,-2,5,,,150,4.9,18.5,1020.9,
2020-01-16,2,-3,8,,,326,3.8,13,1028.6,
2020-01-17,-0.2,-1,1,,,98,5.2,22.2,1023.6,
2020-01-18,2.5,0,5,,,240,5,18.5,1024.6,
2020-01-19,1.8,0,5,,,284,3.7,13,1032.5,
2020-01-20,1,-1,4,,,155,3,11.1,1044.9,
2020-01-21,-2.1,-5,1,,,47,4,11.1,1041.1,
2020-01-22,-1.2,-4,3,,,226,8.2,16.7,1033.9,
2020-01-23,0.1,-4,3,,,,6,24.1,1031.9,
2020-01-24,-1.4,-3,0,,,268,5.3,16.7,1024.3,
2020-01-25,-1,-4,3,,,246,3.6,13,1022.3,
2020-01-26,-0.5,-2,2,,,280,1.7,9.3,1021.5,
2020-01-27,1.2,-3,7,,,197,3.7,22.2,1015.3,
2020-01-28,4.3,1,8,,,222,18.2,51.8,1000.7,
2020-01-29,1.8,0,3,,,234,14.1,44.5,1006.9,
2020-01-30,4,2,7,,,225,17,38.9,1012.9,
2020-01-31,10.2,7,13,,,234,19.1,46.3,1009.2,
2020-02-01,11.5,9,14,,,225,18.6,51.8,1008.7,
2020-02-02,8.3,3,12,,,232,15.6,53.7,1009.8,
2020-02-03,8.2,7,11,,,241,13.4,55.5,1011.5,
2020-02-04,3.9,2,7,,,263,11.5,42.6,1007.3,
2020-02-05,1.9,-2,4,,,320,10.4,35.2,1025.8,
2020-02-06,0.4,-3,3,,,247,8.1,20.4,1030.3,
2020-02-07,2.8,1,5,,,147,6.1,13,1028.7,
2020-02-08,0.7,-2,4,,,145,4.6,16.7,1025.6,
2020-02-09,3.4,-5,12,,,210,12.1,50,1018.5,
2020-02-10,8,3,14,,,239,26.5,75.9,1000.1,
2020-02-11,3.7,1,6,,,255,18.6,64.8,1003.8,
2020-02-12,2.1,0,4,,,246,16.4,53.7,1013.9,
2020-02-13,2.5,-1,6,,,190,10.1,35.2,1013.2,
2020-02-14,5.1,4,7,,,244,9.2,31.5,1016.3,
2020-02-15,4.8,1,10,,,197,4.5,20.4,1024.7,
2020-02-16,6.9,0,16,,,203,7.8,29.6,1017.4,
2020-02-17,10.3,7,15,,,239,13.4,35.2,1016.5,
2020-02-18,6.1,5,8,,,246,15.8,50,1022.9,
2020-02-19,4.1,2,6,,,231,15.3,40.8,1018.8,
2020-02-20,3.4,0,5,,,214,13,25.9,1020.6,
2020-02-21,4.5,2,7,,,249,14.9,46.3,1023.2,
2020-02-22,7.3,2,11,,,221,18.3,48.2,1024.3,
2020-02-23,10,8,14,,,241,24.4,70.4,1015.6,
2020-02-24,4.8,2,8,,,241,12.8,61.1,1017.9,
2020-02-25,8.3,5,10,,,235,19,42.6,1002.6,
2020-02-26,3.3,2,5,,,242,17.7,51.8,998,
2020-02-27,2.5,0,5,,,218,15.5,35.2,1001.8,
2020-02-28,1.1,-1,4,,,251,9.3,40.8,1013,
2020-02-29,4.7,0,10,,,182,7.6,31.5,1004.4,
2020-03-01,6.7,2,11,,,212,15.1,42.6,1000.5,
2020-03-02,6.8,2,10,,,194,12.5,42.6,994.5,
2020-03-03,4.5,3,6,,,253,8.2,35.2,999.1,
2020-03-04,2.9,-1,6,,,241,9.5,37,1011.5,
2020-03-05,3.5,-4,9,,,110,6.4,29.6,1002.8,
2020-03-06,6,4,8,,,218,15.3,40.8,995.1,
2020-03-07,4.5,4,6,,,266,11.9,38.9,1013.1,
2020-03-08,4.7,0,8,,,211,10,31.5,1018.9,
2020-03-09,4.5,1,9,,,250,5.3,22.2,1013.2,
2020-03-10,3.8,0,7,,,217,17.5,40.8,1012.9,
